chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:d14_WT1	c2:d14_WT2	c3:d14_WT3	c4:d14_WT4	t1:d14_HET1	t2:d14_HET2	t3:d14_HET3	t4:d14_HET4
4	+	chr4:147180579-147457018	ENSMUSG00000097122	Gm26624	lincRNA	[147180581]	1	38	2	5	3	5	5	6	5	7
3	-	chr3:144683677-144720334	ENSMUSG00000037062	Sh3glb1	protein_coding	[144691067, 144686911]	2	2138	135	341	314	239	253	262	297	297
1	+	chr1:81076949-81341763	ENSMUSG00000054976	Nyap2	protein_coding	[81341763, 81089374]	2	851	53	139	136	106	85	114	107	111
7	-	chr7:105480606-105482196	ENSMUSG00000037060	Prkcdbp	protein_coding	[105480606]	1	134	17	21	15	22	17	13	18	11
14	-	chr14:49298518-49526045	ENSMUSG00000021852	Slc35f4	protein_coding	[49488010, 49298519]	2	179	16	22	30	20	17	25	27	22
7	+	chr7:112023505-112111385	ENSMUSG00000059263	Usp47	protein_coding	[112110482, 112111383]	2	1269	90	171	182	152	172	134	182	186
7	+	chr7:24884370-24889805	ENSMUSG00000040952	Rps19	protein_coding	[24889807]	1	94	5	10	14	13	13	16	11	12
11	-	chr11:23646478-23665958	ENSMUSG00000020283	Pex13	protein_coding	[23647512, 23648075, 23646844, 23648822]	4	275	20	37	41	30	32	25	41	49
11	+	chr11:23665673-23732875	ENSMUSG00000020280	Pus10	protein_coding	[23732875]	1	66	6	9	8	3	5	9	8	18
17	-	chr17:23668613-23673881	ENSMUSG00000041319	Thoc6	protein_coding	[23668618]	1	808	53	153	103	95	100	84	112	108
11	+	chr11:32226504-32232699	ENSMUSG00000020287	Mpg	protein_coding	[32232697, 32232023]	2	246	17	45	37	25	16	32	33	41
10	+	chr10:77978523-77986904	ENSMUSG00000020284	1810043G02Rik	protein_coding	[77985436]	1	146	15	23	25	13	14	20	23	13
1	-	chr1:157135181-157412594	ENSMUSG00000070565	Rasal2	protein_coding	[157135189]	1	412	26	78	81	44	43	51	46	43
11	-	chr11:23487881-23498029	ENSMUSG00000020288	Ahsa2	protein_coding	[23489736, 23490074, 23490421]	3	560	47	108	82	68	61	60	73	61
5	-	chr5:148327409-148399903	ENSMUSG00000041313	Slc7a1	protein_coding	[148327411]	1	664	58	129	101	77	81	70	80	68
8	+	chr8:123477902-123503915	ENSMUSG00000031967	Afg3l1	protein_coding	[123503914]	1	391	18	62	56	44	51	44	58	58
6	-	chr6:126821720-126849135	ENSMUSG00000000399	Ndufa9	protein_coding	[126821954, 126818853]	2	1697	140	242	246	191	211	199	238	230
11	+	chr11:54100094-54131664	ENSMUSG00000018906	P4ha2	protein_coding	[54131649]	1	90	11	19	11	13	5	12	12	7
8	+	chr8:111033143-111057663	ENSMUSG00000031960	Aars	protein_coding	[111057601, 111055567]	2	1232	87	194	163	142	173	146	168	159
9	+	chr9:23223075-23485201	ENSMUSG00000031963	Bmper	protein_coding	[23485201]	1	90	5	11	16	9	11	11	15	12
5	-	chr5:20758662-20882123	ENSMUSG00000039987	Phtf2	protein_coding	[20758770]	1	283	25	46	34	28	37	34	45	34
9	-	chr9:26974134-26999565	ENSMUSG00000031969	Acad8	protein_coding	[26974968, 26975168]	2	118	10	19	17	8	9	15	25	15
19	-	chr19:5728086-5729652	ENSMUSG00000024939	Fam89b	protein_coding	[5728087]	1	1443	107	205	216	153	182	162	200	218
15	+	chr15:66577571-66645254	ENSMUSG00000072501	Phf20l1	protein_coding	[66643833, 66619109, 66604108, 66611613, 66645071]	5	658	44	130	82	78	76	89	93	66
18	+	chr18:67774875-67795460	ENSMUSG00000079614	Seh1l	protein_coding	[67795483, 67795350]	2	383	26	49	62	40	61	46	47	52
15	+	chr15:99055173-99058977	ENSMUSG00000023484	Prph	protein_coding	[99058969]	1	451	38	107	57	48	52	45	57	47
7	+	chr7:12478292-12496234	ENSMUSG00000030386	Zfp606	protein_coding	[12495552]	1	440	26	82	53	41	62	64	56	56
2	-	chr2:139256875-139677713	ENSMUSG00000085071	Gm14066	processed_transcript	[139675968]	1	54	4	17	6	9	5	4	3	6
2	-	chr2:68210444-68472267	ENSMUSG00000027030	Stk39	protein_coding	[68210447]	1	622	57	88	92	57	87	59	105	77
11	-	chr11:69823121-69837783	ENSMUSG00000051790	Nlgn2	protein_coding	[69823122]	1	1450	102	242	221	175	168	205	167	170
8	-	chr8:105467492-105471525	ENSMUSG00000014846	Tppp3	protein_coding	[105467492]	1	735	56	145	91	89	88	91	100	75
2	-	chr2:172036232-172043465	ENSMUSG00000067578	Cbln4	protein_coding	[172036229]	1	753	67	112	117	62	85	97	109	104
14	-	chr14:79334203-79390777	ENSMUSG00000022020	Naa16	protein_coding	[79334509]	1	35	4	4	6	1	5	5	4	6
14	-	chr14:86655366-87141223	ENSMUSG00000022021	Diap3	protein_coding	[86655366]	1	73	8	19	9	5	11	5	10	6
14	+	chr14:79397771-79423649	ENSMUSG00000022022	Mtrf1	protein_coding	[79423589]	1	66	5	17	4	7	6	9	6	12
14	-	chr14:79459936-79481267	ENSMUSG00000022023	Wbp4	protein_coding	[79461749, 79459935]	2	130	10	21	22	14	14	18	13	18
14	+	chr14:79587690-79629754	ENSMUSG00000022024	Sugt1	protein_coding	[79630796, 79628975]	2	633	47	102	95	73	73	85	75	83
8	-	chr8:83571699-83594490	ENSMUSG00000031708	Tecr	protein_coding	[83571699]	1	4601	373	766	638	511	540	607	608	558
X	+	chrX:164419792-164433915	ENSMUSG00000031381	Piga	protein_coding	[164433914]	1	78	11	10	8	10	11	5	15	8
2	+	chr2:181520484-181555132	ENSMUSG00000000826	Dnajc5	protein_coding	[181552879]	1	4096	303	641	620	472	541	472	530	517
2	-	chr2:181582102-181592802	ENSMUSG00000000823	Znf512b	protein_coding	[181582105]	1	530	37	88	80	65	58	74	81	47
X	-	chrX:73916872-73921943	ENSMUSG00000031388	Naa10	protein_coding	[73916889]	1	113	8	20	12	22	18	12	9	12
7	+	chr7:139894695-139941536	ENSMUSG00000066129	Kndc1	protein_coding	[139941536]	1	402	29	62	56	50	46	52	56	51
5	+	chr5:118027742-118061877	ENSMUSG00000029359	Tesc	protein_coding	[118061868]	1	107	6	20	8	10	26	15	13	9
10	-	chr10:128129469-128180296	ENSMUSG00000040043	Rbms2	protein_coding	[128129470]	1	79	4	13	14	10	7	10	8	13
14	+	chr14:57424061-57517935	ENSMUSG00000040040	Ift88	protein_coding	[57517935]	1	324	21	62	43	32	46	51	37	32
4	-	chr4:34570795-34614943	ENSMUSG00000040044	Orc3	protein_coding	[34569297]	1	89	11	21	7	4	10	11	12	13
7	-	chr7:5007056-5014696	ENSMUSG00000061374	Fiz1	protein_coding	[5007059]	1	227	14	30	43	30	32	25	26	27
17	-	chr17:24722059-24724477	ENSMUSG00000040048	Ndufb10	protein_coding	[24722062]	1	962	68	159	151	114	104	132	113	121
8	+	chr8:125012996-125034191	ENSMUSG00000056820	Tsnax	protein_coding	[125034193]	1	2582	180	402	381	269	329	297	376	348
8	-	chr8:85717556-85840948	ENSMUSG00000031703	Itfg1	protein_coding	[85717688, 85718539, 85717556, 85718710]	4	1013	72	179	172	97	131	129	121	112
15	-	chr15:36770769-36794546	ENSMUSG00000022285	Ywhaz	protein_coding	[36771697, 36770770]	2	5826	419	976	800	684	713	788	712	734
15	-	chr15:36239933-36283146	ENSMUSG00000022280	Rnf19a	protein_coding	[36239933]	1	349	34	43	39	38	41	49	52	53
15	-	chr15:36595660-36608972	ENSMUSG00000022283	Pabpc1	protein_coding	[36595667, 36605821]	2	93	11	14	12	6	13	8	18	11
3	+	chr3:96221118-96223737	ENSMUSG00000068854	Hist2h2be	protein_coding	[96223737]	1	248	17	33	44	28	25	22	39	40
15	+	chr15:102976438-102985098	ENSMUSG00000036139	Hoxc9	protein_coding	[102984440]	1	403	20	58	79	39	42	48	63	54
6	-	chr6:125161714-125166466	ENSMUSG00000057666	Gapdh	protein_coding	[125161849]	1	157	20	31	16	15	23	22	11	19
7	-	chr7:19505813-19508330	ENSMUSG00000057667	Bloc1s3	protein_coding	[19505790]	1	71	2	13	10	10	13	5	12	6
9	+	chr9:21337827-21355024	ENSMUSG00000057193	Slc44a2	protein_coding	[21355026]	1	124	9	20	20	18	12	21	13	11
4	-	chr4:132853500-132884508	ENSMUSG00000028879	Stx12	protein_coding	[132854361, 132853502, 132854063]	3	2927	198	467	423	314	392	375	356	402
4	-	chr4:132899212-132922557	ENSMUSG00000028878	Fam76a	protein_coding	[132899219]	1	58	3	14	9	10	4	6	10	2
6	-	chr6:60731574-60829854	ENSMUSG00000025889	Snca	protein_coding	[60731578]	1	3857	538	656	1	393	927	438	469	435
X	-	chrX:93764606-93832200	ENSMUSG00000035232	Pdk3	protein_coding	[93764624]	1	262	17	39	27	30	36	32	41	40
2	+	chr2:120027482-120032593	ENSMUSG00000098789	Jmjd7	protein_coding	[120032592]	1	75	2	10	15	8	12	11	7	10
4	+	chr4:115839197-115879249	ENSMUSG00000028708	Mknk1	protein_coding	[115879247]	1	94	6	23	15	6	12	16	9	7
14	-	chr14:123977906-124677126	ENSMUSG00000025551	Fgf14	protein_coding	[123974441, 123973846, 123978414]	3	138	8	26	26	13	21	17	13	14
4	-	chr4:124918464-124939310	ENSMUSG00000028873	Cdca8	protein_coding	[124918469]	1	474	26	83	74	67	50	64	57	53
18	+	chr18:75367528-75395934	ENSMUSG00000025880	Smad7	protein_coding	[75368357, 75395926]	2	177	13	41	24	19	19	16	13	32
4	+	chr4:116075268-116097042	ENSMUSG00000028703	Lrrc41	protein_coding	[116097041]	1	295	31	52	42	40	35	31	27	37
18	+	chr18:74440935-74771492	ENSMUSG00000025885	Myo5b	protein_coding	[74770801]	1	62	4	14	8	14	5	7	5	5
4	+	chr4:116123839-116159848	ENSMUSG00000028700	Pomgnt1	protein_coding	[116159843]	1	308	23	47	53	37	42	44	33	29
10	-	chr10:122992060-123076504	ENSMUSG00000034602	Mon2	protein_coding	[122995160, 122992062]	2	280	31	42	39	24	36	33	29	46
12	+	chr12:71136847-71243302	ENSMUSG00000034601	2700049A03Rik	protein_coding	[71243296]	1	66	5	8	14	5	6	9	9	10
13	+	chr13:49653349-49679014	ENSMUSG00000021392	Nol8	protein_coding	[49678977]	1	62	3	14	10	5	9	8	11	2
2	-	chr2:32986223-33131653	ENSMUSG00000038860	Garnl3	protein_coding	[32986225, 32986372]	2	735	48	120	106	83	83	101	104	90
13	+	chr13:51171024-51175186	ENSMUSG00000021396	Nxnl2	protein_coding	[51175185]	1	53	2	10	11	4	8	6	6	6
13	+	chr13:51100879-51152545	ENSMUSG00000021395	Spin1	protein_coding	[51150074, 51152551]	2	230	14	46	29	28	22	24	36	31
9	+	chr9:108507712-108515940	ENSMUSG00000032604	Qars	protein_coding	[108515935]	1	414	29	72	59	42	49	45	55	63
3	+	chr3:151437886-151545085	ENSMUSG00000039167	Adgrl4	protein_coding	[151545079]	1	379	37	69	60	50	52	49	24	38
9	+	chr9:108290428-108296497	ENSMUSG00000032606	Nicn1	protein_coding	[108296497]	1	621	49	93	87	73	90	77	77	75
9	+	chr9:108689313-108750435	ENSMUSG00000032601	Prkar2a	protein_coding	[108750428]	1	963	71	162	162	114	113	107	121	113
19	-	chr19:6080761-6084943	ENSMUSG00000024792	Zfpl1	protein_coding	[6080764]	1	328	22	45	50	50	33	36	51	41
9	-	chr9:118064528-118150195	ENSMUSG00000039163	Cmc1	protein_coding	[118065094]	1	153	9	20	16	22	20	22	20	24
9	+	chr9:108662087-108684640	ENSMUSG00000032602	Slc25a20	protein_coding	[108684640]	1	370	27	51	67	32	38	43	67	45
5	-	chr5:115297109-115300998	ENSMUSG00000009013	Dynll1	protein_coding	[115297125, 115298422]	2	4616	339	750	634	553	570	547	646	577
5	+	chr5:122850047-122871290	ENSMUSG00000029474	Rnf34	protein_coding	[122868944]	1	610	51	109	79	78	62	73	75	83
9	-	chr9:108447635-108461580	ENSMUSG00000032609	Klhdc8b	protein_coding	[108447638]	1	327	29	40	47	41	46	36	43	45
15	+	chr15:31224313-31274340	ENSMUSG00000039168	Dap	protein_coding	[31274333]	1	310	18	52	47	34	49	41	30	39
5	+	chr5:122707543-122729737	ENSMUSG00000029470	P2rx4	protein_coding	[122729039]	1	104	12	17	10	9	11	17	17	11
5	-	chr5:122731169-122779408	ENSMUSG00000029471	Camkk2	protein_coding	[122731172]	1	695	53	92	91	77	91	100	78	113
17	+	chr17:8282903-8297660	ENSMUSG00000023861	Mpc1	protein_coding	[8297660]	1	1203	103	185	177	113	148	144	175	158
17	+	chr17:8525371-8986647	ENSMUSG00000023868	Pde10a	protein_coding	[8982363]	1	42	4	7	4	5	5	3	5	9
9	+	chr9:119444922-119465516	ENSMUSG00000042787	Exog	protein_coding	[119463759]	1	40	1	9	5	6	9	2	5	3
17	+	chr17:35994452-36038434	ENSMUSG00000092368	A930015D03Rik	antisense	[36001645, 35999743]	2	105	9	10	19	16	11	9	14	17
19	-	chr19:35958733-36057506	ENSMUSG00000024798	Htr7	protein_coding	[35958417, 35958730]	2	228	12	32	30	28	29	29	36	32
1	+	chr1:17145361-17164270	ENSMUSG00000025777	Gdap1	protein_coding	[17164283]	1	349	15	64	66	39	35	41	43	46
19	-	chr19:6062820-6068372	ENSMUSG00000024799	Tm7sf2	protein_coding	[6062821]	1	192	10	36	26	24	24	26	21	25
8	+	chr8:116505014-116515895	ENSMUSG00000034467	Dynlrb2	protein_coding	[116515916]	1	48	9	5	6	2	7	4	8	7
19	+	chr19:56826208-56870011	ENSMUSG00000025081	Tdrd1	protein_coding	[56870010]	1	56	5	6	6	8	3	7	13	8
5	+	chr5:104459449-104505818	ENSMUSG00000034462	Pkd2	protein_coding	[104505817]	1	322	19	68	53	32	38	35	34	43
19	-	chr19:57032732-57314918	ENSMUSG00000025085	Ablim1	protein_coding	[57033271]	1	815	61	163	120	72	98	118	88	95
13	+	chr13:100124851-100137689	ENSMUSG00000021645	Smn1	protein_coding	[100137688]	1	802	49	127	135	76	116	78	113	108
13	-	chr13:99898483-99900682	ENSMUSG00000021647	Cartpt	protein_coding	[99898488, 99898757]	2	405	34	65	54	43	54	49	57	49
13	-	chr13:99948532-100015638	ENSMUSG00000021646	Mccc2	protein_coding	[99948532]	1	94	6	12	9	14	10	12	21	10
13	+	chr13:100107996-100114570	ENSMUSG00000021643	Serf1	protein_coding	[100114230]	1	2877	192	417	452	312	318	331	408	447
1	+	chr1:58445150-58481815	ENSMUSG00000026036	Nif3l1	protein_coding	[58463537, 58461522]	2	185	16	26	21	22	23	23	27	27
13	-	chr13:91880399-92131655	ENSMUSG00000021708	Rasgrf2	protein_coding	[91880407]	1	1428	122	256	180	145	195	166	193	171
13	-	chr13:103818786-103920513	ENSMUSG00000021709	Erbb2ip	protein_coding	[103820140]	1	72	4	19	7	4	14	9	9	6
4	+	chr4:138454313-138460122	ENSMUSG00000046447	Camk2n1	protein_coding	[138458142, 138457134]	2	3897	304	617	567	377	507	485	521	519
8	+	chr8:110215664-110224485	ENSMUSG00000046441	Cmtr2	protein_coding	[110224293]	1	143	8	24	23	15	13	14	26	20
11	-	chr11:87226905-87359022	ENSMUSG00000046442	Ppm1e	protein_coding	[87226897]	1	537	36	78	83	70	66	59	80	65
13	-	chr13:110054186-110280205	ENSMUSG00000021700	Rab3c	protein_coding	[110061083, 110055219, 110054196]	3	8206	584	1363	1192	935	1023	1019	1136	954
13	+	chr13:110395043-110400843	ENSMUSG00000021701	Plk2	protein_coding	[110400840]	1	610	39	103	81	73	82	71	76	85
13	+	chr13:92611137-92711943	ENSMUSG00000021703	Serinc5	protein_coding	[92711943]	1	408	35	72	61	54	45	46	47	48
13	+	chr13:92844786-92858229	ENSMUSG00000021704	Mtx3	protein_coding	[92858215]	1	171	13	23	28	22	21	22	21	21
X	-	chrX:104077433-104201184	ENSMUSG00000046449	C77370	protein_coding	[104080985, 104077437]	2	849	57	147	123	93	100	103	118	108
13	-	chr13:92487107-92530867	ENSMUSG00000021706	Zfyve16	protein_coding	[92487741]	1	49	2	5	7	7	11	6	8	3
10	-	chr10:117688887-117710757	ENSMUSG00000020184	Mdm2	protein_coding	[117688895]	1	645	51	113	93	69	77	84	77	81
11	-	chr11:116021911-116027961	ENSMUSG00000016559	H3f3b	protein_coding	[116022292]	1	9512	658	1609	1410	1089	1038	1190	1336	1182
15	-	chr15:77940521-77956721	ENSMUSG00000016552	Foxred2	protein_coding	[77940527]	1	392	29	67	49	37	35	46	62	67
15	-	chr15:80077793-80091867	ENSMUSG00000060036	Rpl3	protein_coding	[80077792]	1	3122	210	572	405	367	415	413	342	398
15	-	chr15:77958997-77970823	ENSMUSG00000016554	Eif3d	protein_coding	[77959000]	1	1033	65	198	132	124	137	140	114	123
2	-	chr2:155278242-155357429	ENSMUSG00000038383	Pigu	protein_coding	[155278244]	1	256	20	51	39	21	37	30	25	33
15	-	chr15:88955883-88979006	ENSMUSG00000035805	Mlc1	protein_coding	[88955890]	1	998	86	171	141	88	154	124	104	130
7	+	chr7:45017977-45021645	ENSMUSG00000038387	Rras	protein_coding	[45021643]	1	96	13	18	10	14	8	11	12	10
5	+	chr5:123142192-123168628	ENSMUSG00000038384	Setd1b	protein_coding	[123168628]	1	1304	103	175	196	139	170	140	192	189
6	+	chr6:50110240-50198938	ENSMUSG00000038388	Mpp6	protein_coding	[50198597, 50198374]	2	146	15	28	20	17	16	17	23	10
18	+	chr18:37341701-37345201	ENSMUSG00000045062	Pcdhb7	protein_coding	[37345201]	1	511	35	74	61	70	77	60	73	61
15	-	chr15:79609575-79658955	ENSMUSG00000042564	Fam227a	protein_coding	[79610991]	1	217	17	34	30	18	32	37	20	29
11	-	chr11:85187261-85235129	ENSMUSG00000018481	Appbp2	protein_coding	[85187273, 85191311, 85188079, 85189471]	4	1352	101	241	210	156	172	158	165	149
2	+	chr2:85136224-85139922	ENSMUSG00000044338	Aplnr	protein_coding	[85139921]	1	88	10	18	20	11	5	10	8	6
5	-	chr5:114123925-114128217	ENSMUSG00000044339	Alkbh2	protein_coding	[114123934]	1	60	9	8	5	5	6	10	8	9
1	+	chr1:90203979-90216750	ENSMUSG00000044337	Ackr3	protein_coding	[90215719]	1	111	11	18	23	13	11	18	4	13
19	-	chr19:10245264-10304876	ENSMUSG00000035735	Dagla	protein_coding	[10245265]	1	176	9	35	30	18	15	17	28	24
7	+	chr7:123982868-124398988	ENSMUSG00000078591	Hs3st4	protein_coding	[124070411]	1	68	5	6	13	4	15	14	3	8
18	+	chr18:86711109-86718282	ENSMUSG00000024647	Cbln2	protein_coding	[86718282, 86720219]	2	868	80	117	150	63	93	129	124	112
X	-	chrX:73942791-73966356	ENSMUSG00000031386	Hcfc1	protein_coding	[73942796]	1	1455	109	263	217	170	171	179	170	176
14	-	chr14:40993739-41013787	ENSMUSG00000021792	Fam213a	protein_coding	[40993736]	1	521	40	92	63	56	61	65	62	82
11	-	chr11:17203197-17211567	ENSMUSG00000020116	Pno1	protein_coding	[17203282]	1	65	4	13	8	7	15	8	7	3
10	-	chr10:119199254-119240054	ENSMUSG00000020114	Cand1	protein_coding	[119214264, 119199234, 119200612, 119202645, 119198814]	5	1230	71	208	190	151	162	129	192	127
X	+	chrX:94274573-94274636	ENSMUSG00000099072	Mir7673	miRNA	[94277719]	1	121	11	30	15	8	19	9	17	12
1	+	chr1:139454771-139494090	ENSMUSG00000033952	Aspm	protein_coding	[139494089]	1	43	2	4	8	9	1	10	3	6
11	+	chr11:17159262-17200374	ENSMUSG00000033953	Ppp3r1	protein_coding	[17200374]	1	19453	1317	3013	2828	2199	2384	2198	2730	2784
2	+	chr2:65620770-65767446	ENSMUSG00000075318	Scn2a1	protein_coding	[65767187, 65767445]	2	633	39	114	93	68	79	71	99	70
2	+	chr2:85048021-85073047	ENSMUSG00000033955	Tnks1bp1	protein_coding	[85073037]	1	50	5	15	8	2	5	5	6	4
7	+	chr7:16959794-16962318	ENSMUSG00000041141	Pnmal1	protein_coding	[16964604, 16962318]	2	553	42	76	102	56	69	70	83	55
11	-	chr11:116220558-116238076	ENSMUSG00000034282	Evpl	protein_coding	[116220559]	1	55	7	9	9	7	9	4	6	4
4	-	chr4:150628571-150652173	ENSMUSG00000039838	Slc45a1	protein_coding	[150628571, 150629396]	2	492	44	82	77	46	63	62	58	60
3	+	chr3:121952540-122016752	ENSMUSG00000039831	Arhgap29	protein_coding	[122016150]	1	451	42	104	65	46	48	64	43	39
16	+	chr16:91225549-91228676	ENSMUSG00000039830	Olig2	protein_coding	[91228674]	1	472	34	85	58	47	79	67	59	43
10	+	chr10:18390321-18533891	ENSMUSG00000039835	Nhsl1	protein_coding	[18533880]	1	247	17	37	48	23	28	35	32	27
2	-	chr2:164891881-164911756	ENSMUSG00000039834	Zfp335	protein_coding	[164891892]	1	123	5	18	18	20	19	15	14	14
4	+	chr4:118409336-118415781	ENSMUSG00000006392	Med8	protein_coding	[118415778, 118415108]	2	1062	88	174	169	99	142	125	131	134
4	-	chr4:118432900-118437351	ENSMUSG00000006398	Cdc20	protein_coding	[118432901]	1	199	11	30	28	27	21	31	31	20
12	-	chr12:8497762-8499984	ENSMUSG00000054364	Rhob	protein_coding	[8497667]	1	1072	83	168	160	134	111	104	166	146
10	-	chr10:62429208-62449737	ENSMUSG00000020079	Supv3l1	protein_coding	[62429233, 62429378]	2	130	8	17	25	23	13	11	14	19
11	-	chr11:63885791-63922289	ENSMUSG00000070407	Hs3st3b1	protein_coding	[63885793]	1	186	10	27	27	19	26	21	38	18
2	-	chr2:75978246-75981966	ENSMUSG00000075271	Ttc30a1	protein_coding	[75979123]	1	188	11	22	28	17	30	24	32	24
2	-	chr2:75989140-76338773	ENSMUSG00000075270	Pde11a	protein_coding	[75985809]	1	124	13	15	17	16	12	17	20	14
8	-	chr8:28646716-29219337	ENSMUSG00000063626	Unc5d	protein_coding	[29084688, 28646724]	2	300	18	59	28	37	44	34	47	33
10	-	chr10:62580247-62602297	ENSMUSG00000020075	Ddx21	protein_coding	[62580253]	1	405	28	65	58	40	43	52	47	72
10	-	chr10:62743927-62792367	ENSMUSG00000020074	Ccar1	protein_coding	[62743929, 62744466, 62753173]	3	545	39	73	104	63	55	68	75	68
10	-	chr10:62493832-62527450	ENSMUSG00000020077	Srgn	protein_coding	[62494427]	1	36	5	8	7	3	2	5	3	3
10	-	chr10:62616022-62651217	ENSMUSG00000020076	Ddx50	protein_coding	[62616015]	1	472	32	83	58	55	60	54	63	67
7	-	chr7:109034311-109083330	ENSMUSG00000048330	Ric3	protein_coding	[109034324, 109035509]	2	85	4	18	15	6	10	16	8	8
16	+	chr16:18127641-18152407	ENSMUSG00000043811	Rtn4r	protein_coding	[18152405]	1	414	33	69	58	62	45	48	52	47
4	+	chr4:136423523-136444397	ENSMUSG00000070687	Htr1d	protein_coding	[136448974]	1	37	2	8	3	2	7	6	2	7
18	+	chr18:37725705-37731007	ENSMUSG00000103897	Pcdhga8	protein_coding	[37730502]	1	64	0	9	12	8	9	9	7	10
5	-	chr5:117091679-117116112	ENSMUSG00000066900	Suds3	protein_coding	[117091681, 117092436]	2	1613	113	259	229	178	195	207	214	218
19	-	chr19:3584827-3686563	ENSMUSG00000024913	Lrp5	protein_coding	[3584830]	1	53	6	8	9	5	7	8	8	2
19	+	chr19:5460606-5465051	ENSMUSG00000024911	Fibp	protein_coding	[5465050]	1	434	37	66	56	62	50	59	65	39
7	-	chr7:133686242-133710071	ENSMUSG00000030979	Uros	protein_coding	[133686355]	1	44	4	11	5	3	3	5	6	7
7	+	chr7:102441694-102469770	ENSMUSG00000030978	Rrm1	protein_coding	[102468923, 102469771]	2	334	28	55	51	36	36	46	45	37
7	+	chr7:78895853-78911208	ENSMUSG00000030609	Aen	protein_coding	[78911208]	1	47	3	7	8	5	2	7	5	10
18	-	chr18:37746558-37768241	ENSMUSG00000097330	Gm26672	processed_transcript	[37751377]	1	79	5	12	8	7	16	9	15	7
7	-	chr7:132987562-133124353	ENSMUSG00000030970	Ctbp2	protein_coding	[132987904, 132987006]	2	863	62	146	119	102	100	120	98	116
5	-	chr5:69109284-69341678	ENSMUSG00000037653	Kctd8	protein_coding	[69109432]	1	213	10	36	36	28	28	20	30	25
3	-	chr3:30899370-30969414	ENSMUSG00000037652	Phc3	protein_coding	[30899371]	1	980	64	169	141	102	124	114	126	140
7	-	chr7:28041706-28050100	ENSMUSG00000030603	Psmc4	protein_coding	[28041708]	1	889	49	129	123	105	127	117	112	127
7	-	chr7:28399548-28598184	ENSMUSG00000030602	Pak4	protein_coding	[28558825]	1	151	11	23	18	22	15	19	30	13
11	-	chr11:6270368-6274869	ENSMUSG00000004394	Tmed4	protein_coding	[6270714, 6270372]	2	570	37	81	87	53	72	85	79	76
2	+	chr2:3284211-3328876	ENSMUSG00000026643	Nmt2	protein_coding	[3328869]	1	777	51	120	110	106	89	87	114	100
11	-	chr11:6258918-6267771	ENSMUSG00000004393	Ddx56	protein_coding	[6255342]	1	79	4	16	15	7	7	11	6	13
2	+	chr2:3336167-3340992	ENSMUSG00000026644	Acbd7	protein_coding	[3340996]	1	39	7	2	8	4	5	6	4	3
13	-	chr13:34074300-34078007	ENSMUSG00000058672	Tubb2a	protein_coding	[34074281]	1	19571	1392	3162	2886	2154	2400	2435	2666	2476
5	+	chr5:43662345-43740971	ENSMUSG00000039765	Cc2d2a	protein_coding	[43740967]	1	161	9	34	26	22	13	21	23	13
13	-	chr13:67038593-67061169	ENSMUSG00000090641	Zfp712	protein_coding	[67038595]	1	80	6	16	12	8	11	11	11	5
8	-	chr8:24949610-25016921	ENSMUSG00000031555	Adam9	protein_coding	[24949611]	1	142	7	31	31	7	12	15	24	15
8	+	chr8:25017210-25023258	ENSMUSG00000031556	Tm2d2	protein_coding	[25023258]	1	715	59	117	117	75	105	87	81	74
4	+	chr4:151933690-151982136	ENSMUSG00000039768	Dnajc11	protein_coding	[151981216, 151981953]	2	448	31	68	56	53	73	50	61	56
9	+	chr9:108853282-108913048	ENSMUSG00000023259	Slc26a6	protein_coding	[108913041]	1	107	11	22	16	11	15	12	12	8
X	-	chrX:41794990-41920673	ENSMUSG00000037475	Thoc2	protein_coding	[41807081, 41795002, 41814612]	3	491	32	64	83	63	61	77	57	54
1	-	chr1:36140026-36244719	ENSMUSG00000037470	Uggt1	protein_coding	[36140028]	1	175	9	24	23	20	24	26	24	25
2	-	chr2:26905261-26910676	ENSMUSG00000015776	Med22	protein_coding	[26905266]	1	641	39	91	96	80	76	91	88	80
15	+	chr15:39198331-39681939	ENSMUSG00000037386	Rims2	protein_coding	[39684369, 39682403, 39546548, 39472463]	4	668	41	124	99	75	75	88	78	88
8	+	chr8:70527723-70535327	ENSMUSG00000019428	Fkbp8	protein_coding	[70535326]	1	1625	120	268	193	208	217	214	188	217
11	-	chr11:106502146-106613422	ENSMUSG00000040548	Tex2	protein_coding	[106502139]	1	55	3	10	7	9	9	10	3	4
11	-	chr11:72047527-72135777	ENSMUSG00000040543	Pitpnm3	protein_coding	[72047529]	1	359	31	55	49	40	49	49	37	49
6	-	chr6:146602351-146642823	ENSMUSG00000040234	Tm7sf3	protein_coding	[146603488]	1	102	6	16	18	16	6	10	14	16
12	+	chr12:57239882-57497198	ENSMUSG00000047022	Mipol1	protein_coding	[57242165]	1	120	9	26	12	10	17	19	17	10
3	+	chr3:90213694-90226384	ENSMUSG00000027935	Rab13	protein_coding	[90225965]	1	222	12	42	37	34	22	28	25	22
3	+	chr3:90231596-90235837	ENSMUSG00000027937	Jtb	protein_coding	[90235837]	1	290	21	46	56	34	29	37	35	32
3	+	chr3:90254162-90264124	ENSMUSG00000027936	Crtc2	protein_coding	[90264116]	1	100	4	19	16	9	17	16	12	7
