chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:KO_WT1	c2:KO_WT2	c3:KO_WT3	c4:KO_WT4	t1:KO_HOM1	t2:KO_HOM2	t3:KO_HOM3	t4:KO_HOM4
19	-	chr19:6938068-6942449	ENSMUSG00000024958	Gpr137	protein_coding	[6938069]	1	480	60	70	81	54	36	78	50	51
6	-	chr6:57727806-57825158	ENSMUSG00000037788	Vopp1	protein_coding	[57752264]	1	4903	572	591	622	492	622	780	674	550
19	-	chr19:24094522-24225025	ENSMUSG00000024812	Tjp2	protein_coding	[24094651]	1	179	25	27	25	27	13	23	15	24
15	-	chr15:73577423-73645761	ENSMUSG00000079020	Slc45a4	protein_coding	[73577419, 73580287]	2	847	82	118	120	129	92	110	88	108
7	-	chr7:92857528-92874212	ENSMUSG00000030641	Ddias	protein_coding	[92857528]	1	50	8	4	6	8	6	4	6	8
12	+	chr12:61523149-61858341	ENSMUSG00000035653	Lrfn5	protein_coding	[61857921, 61753475, 61537985, 61614671, 61861043, 61814525, 61673342]	7	981	126	133	110	99	95	138	140	140
7	+	chr7:101881324-101901844	ENSMUSG00000030649	Anapc15	protein_coding	[101899542]	1	166	20	30	24	19	18	22	15	18
17	-	chr17:28399094-28517523	ENSMUSG00000024222	Fkbp5	protein_coding	[28399097]	1	862	99	85	102	105	98	124	114	135
10	-	chr10:39118803-39133913	ENSMUSG00000051736	Fam229b	protein_coding	[39118818]	1	111	10	17	6	20	13	22	10	13
2	+	chr2:132846665-132866784	ENSMUSG00000027357	Crls1	protein_coding	[132866150]	1	122	6	17	11	16	11	9	8	44
11	+	chr11:116918862-116986947	ENSMUSG00000043857	Mgat5b	protein_coding	[116986932]	1	731	105	90	101	96	73	102	100	64
2	+	chr2:117121373-117182278	ENSMUSG00000027351	Spred1	protein_coding	[117182267, 117180279]	2	388	69	57	47	48	32	56	43	36
2	+	chr2:132781277-132795078	ENSMUSG00000027350	Chgb	protein_coding	[132795070]	1	1822	220	221	200	252	197	290	222	220
5	-	chr5:43978857-43981778	ENSMUSG00000048373	Fgfbp1	protein_coding	[43978862]	1	77	8	6	4	15	7	8	6	23
2	+	chr2:126552406-126588242	ENSMUSG00000027359	Slc27a2	protein_coding	[126588240]	1	73	10	9	8	9	4	9	7	17
2	+	chr2:133552158-133562884	ENSMUSG00000027358	Bmp2	protein_coding	[133562882, 133562582]	2	107	18	14	18	10	11	14	10	12
8	-	chr8:110810491-110846802	ENSMUSG00000033732	Sf3b3	protein_coding	[110810492]	1	1283	153	152	157	136	139	213	171	162
9	-	chr9:37649181-37657311	ENSMUSG00000011114	Tbrg1	protein_coding	[37649187]	1	484	57	74	45	59	52	83	53	61
3	+	chr3:51415147-51476506	ENSMUSG00000063273	Naa15	protein_coding	[51423315]	1	255	25	24	36	29	21	27	46	47
8	-	chr8:122466146-122476063	ENSMUSG00000014470	Rnf166	protein_coding	[122466146]	1	250	29	29	28	26	30	29	38	41
5	+	chr5:135149656-135165759	ENSMUSG00000005374	Tbl2	protein_coding	[135162666, 135163871]	2	248	26	36	30	29	34	38	24	31
7	+	chr7:12834760-12850576	ENSMUSG00000058638	Zfp110	protein_coding	[12850321, 12850578]	2	244	29	37	45	17	31	28	27	30
18	+	chr18:35771558-35807171	ENSMUSG00000091896	Ube2d2a	protein_coding	[35807160, 35806434]	2	5490	639	638	728	574	663	878	755	615
7	+	chr7:80993680-81045163	ENSMUSG00000005621	Zfp592	protein_coding	[81045162, 81042717, 81045022]	3	557	55	61	77	65	69	78	77	75
8	-	chr8:41340196-41374772	ENSMUSG00000031591	Asah1	protein_coding	[41340662]	1	165	22	17	21	16	14	31	26	18
8	+	chr8:41239758-41334085	ENSMUSG00000031592	Pcm1	protein_coding	[41332576, 41332340, 41286820, 41334085]	4	1219	168	140	156	140	125	191	152	147
3	-	chr3:95032693-95042613	ENSMUSG00000005625	Psmd4	protein_coding	[95032703]	1	4361	551	586	499	538	452	751	477	507
8	+	chr8:40862395-40922307	ENSMUSG00000031596	Slc7a2	protein_coding	[40922068]	1	1121	144	175	113	184	111	114	95	185
7	+	chr7:19119858-19138260	ENSMUSG00000050428	Fbxo46	protein_coding	[19137810]	1	49	7	7	8	7	4	13	1	2
19	+	chr19:29925113-29960717	ENSMUSG00000024810	Il33	protein_coding	[29960702]	1	59	9	14	3	10	4	8	4	7
2	+	chr2:121453289-121458671	ENSMUSG00000027245	Hypk	protein_coding	[121458309]	1	1273	185	163	170	160	108	174	134	179
X	+	chrX:20059559-20097520	ENSMUSG00000037347	Chst7	protein_coding	[20097517]	1	76	7	11	9	10	6	13	11	9
2	-	chr2:91674617-91710575	ENSMUSG00000027244	Atg13	protein_coding	[91674625]	1	344	45	42	40	32	53	62	37	33
7	-	chr7:38262819-38271347	ENSMUSG00000030423	Pop4	protein_coding	[38262819]	1	786	78	100	91	86	93	125	109	104
1	+	chr1:191906766-191913246	ENSMUSG00000037434	Slc30a1	protein_coding	[191913186]	1	251	26	32	43	19	31	32	36	32
7	-	chr7:37960001-38019541	ENSMUSG00000030421	Uri1	protein_coding	[37969416]	1	54	10	6	12	4	8	3	6	5
12	+	chr12:102554968-102565026	ENSMUSG00000021194	Chga	protein_coding	[102565026]	1	1366	173	205	185	144	116	224	185	134
8	-	chr8:69741638-69749969	ENSMUSG00000092260	Zfp963	protein_coding	[69741911]	1	78	14	5	9	12	12	12	4	10
19	-	chr19:6993017-6996116	ENSMUSG00000037349	Nudt22	protein_coding	[6993018]	1	209	27	24	20	23	19	38	29	29
4	+	chr4:134496696-134510234	ENSMUSG00000037348	Paqr7	protein_coding	[134508809, 134510234]	2	1049	124	107	127	152	104	141	147	147
12	-	chr12:22953996-23010283	ENSMUSG00000073164	2410018L13Rik	lincRNA	[22953980]	1	79	13	4	8	11	9	9	13	12
10	-	chr10:127182520-127190053	ENSMUSG00000019467	Arhgef25	protein_coding	[127182525]	1	1981	267	346	217	268	179	352	188	164
3	+	chr3:95940085-95942564	ENSMUSG00000106262	RP23-49O17.4	TEC	[95947384, 95945564]	2	6591	912	850	826	703	769	861	896	774
4	+	chr4:43046033-43053252	ENSMUSG00000096974	Gm26881	lincRNA	[43053249]	1	184	24	18	19	14	23	30	29	27
19	-	chr19:38788127-38819236	ENSMUSG00000024999	Noc3l	protein_coding	[38788128]	1	48	6	4	6	2	2	6	12	10
10	+	chr10:75212072-75312398	ENSMUSG00000033444	Specc1l	protein_coding	[75312372]	1	1112	129	125	134	109	135	181	156	143
4	-	chr4:97568132-97778077	ENSMUSG00000048747	E130114P18Rik	protein_coding	[97568392]	1	81	10	7	15	8	2	11	6	22
3	-	chr3:123526165-123690852	ENSMUSG00000027977	Ndst3	protein_coding	[123645366]	1	57	5	8	6	3	12	13	5	5
X	+	chrX:94724568-94730186	ENSMUSG00000073062	Zxdb	protein_coding	[94730178, 94727718]	2	293	32	38	27	40	25	45	46	40
11	-	chr11:80136677-80142174	ENSMUSG00000046909	Tefm	protein_coding	[80136679]	1	65	9	9	8	6	8	6	10	9
14	+	chr14:73237894-73243293	ENSMUSG00000033446	Lpar6	protein_coding	[73239780]	1	95	9	13	13	16	9	9	14	12
8	-	chr8:94574942-94601725	ENSMUSG00000031774	Fam192a	protein_coding	[94574942]	1	936	116	112	133	85	88	126	143	133
8	-	chr8:94674894-94696241	ENSMUSG00000031775	Pllp	protein_coding	[94675443]	1	117	19	22	16	24	7	9	5	15
8	+	chr8:94386437-94395376	ENSMUSG00000031770	Herpud1	protein_coding	[94395357]	1	552	62	67	64	55	67	85	68	84
8	+	chr8:94772008-94782422	ENSMUSG00000031778	Cx3cl1	protein_coding	[94782423]	1	3717	492	484	443	519	386	503	418	472
16	+	chr16:33056452-33060188	ENSMUSG00000060636	Rpl35a	protein_coding	[33060174]	1	490	74	56	54	44	55	78	58	71
1	+	chr1:172148083-172197004	ENSMUSG00000026554	Dcaf8	protein_coding	[172195465]	1	618	67	84	87	65	70	106	71	68
4	-	chr4:123734558-123750344	ENSMUSG00000023075	Akirin1	protein_coding	[123735200, 123735351]	2	365	44	51	41	34	33	51	55	56
1	-	chr1:172000959-172028443	ENSMUSG00000026556	Vangl2	protein_coding	[172000960]	1	128	26	15	11	9	8	9	19	31
7	+	chr7:35397034-35438688	ENSMUSG00000023072	Cep89	protein_coding	[35430452, 35438685]	2	197	22	33	17	12	18	35	33	27
1	-	chr1:66830838-66863276	ENSMUSG00000026003	Acadl	protein_coding	[66830852, 66831278]	2	1405	93	95	115	109	72	92	81	748
1	-	chr1:67000516-67038871	ENSMUSG00000026000	Lancl1	protein_coding	[67000517]	1	182	24	25	18	21	18	27	25	24
1	-	chr1:167222882-167285319	ENSMUSG00000026558	Uck2	protein_coding	[167222891]	1	220	31	34	33	23	21	39	17	22
11	+	chr11:32205414-32208983	ENSMUSG00000040767	Snrnp25	protein_coding	[32208982]	1	599	81	78	61	66	65	99	86	63
14	-	chr14:26918987-26971231	ENSMUSG00000040760	Appl1	protein_coding	[26918986, 26922847]	2	4244	514	514	450	488	493	676	569	540
7	+	chr7:104244456-104340692	ENSMUSG00000056144	Trim34a	protein_coding	[104262232]	1	47	7	8	3	9	4	6	3	7
3	+	chr3:107039503-107054346	ENSMUSG00000056145	AI504432	lincRNA	[107054320]	1	325	43	51	35	50	21	45	52	28
19	-	chr19:4784292-4793900	ENSMUSG00000094936	Rbm4	protein_coding	[4784296, 4785153, 4784984]	3	1088	126	129	134	95	139	164	164	137
5	-	chr5:120940498-121010091	ENSMUSG00000029608	Rph3a	protein_coding	[120940501]	1	340	42	47	51	42	30	52	38	38
X	+	chrX:74281911-74290150	ENSMUSG00000009995	Taz	protein_coding	[74290147]	1	293	39	30	38	37	31	38	36	44
16	-	chr16:45711229-45724607	ENSMUSG00000022658	Tagln3	protein_coding	[45711229]	1	5880	735	718	728	605	747	926	827	594
2	-	chr2:27262103-27427032	ENSMUSG00000009621	Vav2	protein_coding	[27262104]	1	1318	179	148	173	113	157	207	197	144
13	-	chr13:21513221-21531119	ENSMUSG00000063894	Zkscan8	protein_coding	[21513222]	1	275	42	29	32	26	32	45	33	36
14	-	chr14:60219203-60251506	ENSMUSG00000063895	Nupl1	protein_coding	[60218078]	1	549	77	60	58	54	76	104	59	61
5	-	chr5:120594304-120612588	ENSMUSG00000029600	Rita1	protein_coding	[120609061]	1	771	86	93	107	95	96	122	101	71
5	-	chr5:120680201-120711926	ENSMUSG00000029603	Dtx1	protein_coding	[120680202]	1	1539	187	182	187	176	180	235	217	175
8	+	chr8:33516737-33585581	ENSMUSG00000009628	Tex15	protein_coding	[33585583]	1	110	6	11	18	11	7	22	10	25
9	-	chr9:7818226-7837063	ENSMUSG00000057367	Birc2	protein_coding	[7818235]	1	296	53	43	28	24	23	35	27	63
2	-	chr2:127240937-127247815	ENSMUSG00000003662	Ciao1	protein_coding	[127242557]	1	160	21	18	21	21	12	29	12	26
2	+	chr2:127208385-127240450	ENSMUSG00000003660	Snrnp200	protein_coding	[127240459]	1	37	7	8	4	0	6	7	1	4
1	-	chr1:43746965-43827799	ENSMUSG00000057363	Uxs1	protein_coding	[43749532, 43749878]	2	410	50	46	60	61	36	69	59	29
10	-	chr10:128490859-128493874	ENSMUSG00000090841	Myl6	protein_coding	[128490858]	1	614	89	65	85	81	56	96	74	68
1	+	chr1:15805645-15844051	ENSMUSG00000025925	Terf1	protein_coding	[15843427, 15813439]	2	212	21	31	27	19	24	27	31	32
1	+	chr1:19208913-19238575	ENSMUSG00000025927	Tfap2b	protein_coding	[19238572]	1	2357	299	279	288	248	287	341	299	316
1	-	chr1:16228673-16520111	ENSMUSG00000025920	Stau2	protein_coding	[16345696, 16441040, 16392618, 16344198, 16449630]	5	731	107	93	90	70	78	92	111	90
1	+	chr1:16105773-16133733	ENSMUSG00000025921	Rdh10	protein_coding	[16132547, 16133732]	2	599	59	73	54	60	81	103	99	70
9	-	chr9:121680046-121705489	ENSMUSG00000061536	Sec22c	protein_coding	[121680046]	1	289	28	40	40	38	25	42	42	34
12	-	chr12:90998491-91384408	ENSMUSG00000061533	Cep128	protein_coding	[90998496]	1	36	5	4	5	1	2	8	4	7
12	-	chr12:40005446-40038024	ENSMUSG00000047446	Arl4a	protein_coding	[40033291, 40035821]	2	1832	198	199	214	185	237	235	256	308
17	+	chr17:56256792-56263607	ENSMUSG00000043683	Fem1a	protein_coding	[56263608, 56260118]	2	1203	135	140	145	119	126	209	165	164
8	-	chr8:120608601-120647631	ENSMUSG00000043687	1190005I06Rik	protein_coding	[120608603]	1	241	26	26	23	23	29	45	28	41
X	-	chrX:153036165-153037574	ENSMUSG00000047238	Mageh1	protein_coding	[153036167]	1	3169	373	331	370	421	369	418	415	472
19	+	chr19:3935185-3949339	ENSMUSG00000036908	Unc93b1	protein_coding	[3949338]	1	69	8	10	7	10	6	7	9	12
1	+	chr1:120340581-120343173	ENSMUSG00000036907	C1ql2	protein_coding	[120343172]	1	63	10	7	6	11	5	8	9	7
15	+	chr15:79347540-79359071	ENSMUSG00000042622	Maff	protein_coding	[79359073]	1	67	14	9	8	11	5	7	6	7
4	-	chr4:136880128-136886186	ENSMUSG00000036905	C1qb	protein_coding	[136880132]	1	251	37	37	36	24	27	25	34	31
8	-	chr8:85636587-85690972	ENSMUSG00000036902	Neto2	protein_coding	[85637089, 85636717]	2	1564	209	194	186	168	204	200	234	169
17	-	chr17:56560964-56584584	ENSMUSG00000042625	Safb2	protein_coding	[56562945, 56560971]	2	535	47	66	70	54	58	98	66	76
9	+	chr9:115200397-115203874	ENSMUSG00000097967	Gm27002	sense_intronic	[115206221]	1	55	6	5	11	6	4	4	14	5
18	+	chr18:32067733-32104330	ENSMUSG00000024384	Iws1	protein_coding	[32097515, 32104323]	2	1033	115	124	90	106	124	150	147	177
7	+	chr7:19508669-19516144	ENSMUSG00000002043	Trappc6a	protein_coding	[19509461]	1	168	20	29	20	23	17	25	16	18
17	+	chr17:20945310-20965915	ENSMUSG00000007564	Ppp2r1a	protein_coding	[20965903]	1	7607	984	1000	986	832	832	1194	1003	776
4	-	chr4:82290172-82705749	ENSMUSG00000008575	Nfib	protein_coding	[82290175]	1	1992	267	272	244	229	215	307	242	216
4	-	chr4:106744554-106804997	ENSMUSG00000034853	Acot11	protein_coding	[106744578]	1	79	18	9	11	16	6	6	6	7
2	+	chr2:127247907-127261106	ENSMUSG00000034850	Tmem127	protein_coding	[127261105, 127260762]	2	2071	273	249	229	243	221	270	250	336
10	+	chr10:81357490-81366224	ENSMUSG00000034854	Mfsd12	protein_coding	[81366221]	1	451	60	59	47	55	51	54	55	70
11	+	chr11:22512087-22519233	ENSMUSG00000049904	Tmem17	protein_coding	[22519229]	1	269	29	30	27	39	22	32	39	51
9	+	chr9:74953052-75032467	ENSMUSG00000034858	Fam214a	protein_coding	[75032082]	1	258	31	29	32	20	36	43	28	39
5	+	chr5:74195285-74199480	ENSMUSG00000049907	Rasl11b	protein_coding	[74199471]	1	553	61	59	75	55	66	90	87	60
2	+	chr2:29124180-29182470	ENSMUSG00000043535	Setx	protein_coding	[29158956, 29137549, 29182470, 29173607]	4	745	85	90	84	78	90	109	97	112
5	-	chr5:140620577-140649030	ENSMUSG00000036565	Ttyh3	protein_coding	[140620578]	1	10407	1334	1281	1126	1079	1200	1571	1545	1271
2	-	chr2:181147652-181157013	ENSMUSG00000016349	Eef1a2	protein_coding	[181147692]	1	2214	264	266	210	223	239	331	328	353
2	+	chr2:181187246-181188770	ENSMUSG00000016344	Ppdpf	protein_coding	[181188505]	1	248	52	30	29	27	20	34	24	32
11	-	chr11:11787430-11808961	ENSMUSG00000035455	Fignl1	protein_coding	[11800376]	1	167	22	21	21	18	14	27	30	14
17	-	chr17:46798115-46831412	ENSMUSG00000036568	Gltscr1l	protein_coding	[46798123]	1	202	25	22	18	24	21	30	30	32
12	-	chr12:54178980-54203859	ENSMUSG00000035105	Egln3	protein_coding	[54179689, 54178981]	2	287	36	33	40	29	39	41	21	48
5	+	chr5:98180977-98188990	ENSMUSG00000035456	Prdm8	protein_coding	[98187400]	1	223	28	21	29	25	32	27	37	24
12	-	chr12:57540630-57546120	ENSMUSG00000035451	Foxa1	protein_coding	[57540633]	1	32	3	3	5	5	7	1	3	5
11	-	chr11:101406838-101417614	ENSMUSG00000075528	Aarsd1	protein_coding	[101406841]	1	863	128	118	94	93	101	122	111	96
9	+	chr9:75441523-75466431	ENSMUSG00000042487	Leo1	protein_coding	[75466429, 75453390, 75467935]	3	592	80	74	81	76	54	72	70	85
8	-	chr8:71708386-71725715	ENSMUSG00000070000	Fcho1	protein_coding	[71708393, 71706986]	2	219	22	31	25	23	28	50	24	16
2	-	chr2:125627446-125724147	ENSMUSG00000035109	Shc4	protein_coding	[125627447]	1	236	35	24	29	20	30	41	28	29
8	+	chr8:70539674-70592857	ENSMUSG00000070002	Ell	protein_coding	[70592855]	1	623	79	67	58	65	74	93	89	98
11	+	chr11:76179670-76214826	ENSMUSG00000069808	Fam57a	protein_coding	[76209414]	1	204	30	22	18	16	22	40	25	31
17	+	chr17:88597683-88662585	ENSMUSG00000033855	Ston1	protein_coding	[88647860]	1	96	13	10	14	13	15	7	9	15
12	-	chr12:98433993-98577939	ENSMUSG00000033854	Kcnk10	protein_coding	[98571615]	1	140	21	24	12	14	18	27	14	10
6	+	chr6:88084481-88105303	ENSMUSG00000030062	Rpn1	protein_coding	[88103963]	1	5770	656	715	689	657	638	918	735	762
4	+	chr4:24898082-24905000	ENSMUSG00000028261	Ndufaf4	protein_coding	[24903498, 24902214]	2	1001	115	133	88	98	113	167	132	155
3	-	chr3:144188529-144205219	ENSMUSG00000028266	Lmo4	protein_coding	[144188530]	1	216	25	21	19	18	19	30	36	48
19	+	chr19:4855128-4860911	ENSMUSG00000083282	Ctsf	protein_coding	[4860910]	1	835	105	124	96	92	84	129	90	115
9	+	chr9:89215471-89377712	ENSMUSG00000066442	Mthfs	protein_coding	[89278313, 89240220]	2	127	20	18	18	15	9	17	10	20
11	-	chr11:31665180-31671884	ENSMUSG00000044502	Bod1	protein_coding	[31665183]	1	4454	580	526	559	516	477	650	616	530
12	-	chr12:79232346-79296281	ENSMUSG00000066440	Zfyve26	protein_coding	[79232346]	1	90	8	9	11	8	17	12	11	14
12	-	chr12:79174336-79192292	ENSMUSG00000066441	Rdh11	protein_coding	[79175550, 79174335]	2	747	92	91	90	68	86	118	105	97
1	+	chr1:88211958-88218996	ENSMUSG00000089960	Ugt1a1	protein_coding	[88218996]	1	99	5	12	11	10	8	18	12	23
10	+	chr10:97479499-97518161	ENSMUSG00000019929	Dcn	protein_coding	[97518150]	1	657	64	104	63	66	91	74	69	126
10	-	chr10:71254979-71285261	ENSMUSG00000019927	Ube2d1	protein_coding	[71254982]	1	3014	406	381	324	235	396	448	509	315
11	+	chr11:101325062-101329701	ENSMUSG00000078651	Aoc2	protein_coding	[101327924]	1	54	4	7	5	3	9	11	5	10
10	+	chr10:72654844-72674963	ENSMUSG00000019923	Zwint	protein_coding	[72674962, 72669164]	2	11989	1467	1327	1409	1538	1228	1630	1567	1823
10	+	chr10:58323465-58424690	ENSMUSG00000019920	Lims1	protein_coding	[58424686]	1	488	63	53	51	51	56	76	56	82
18	+	chr18:65872819-65886578	ENSMUSG00000024517	Grp	protein_coding	[65886588]	1	204	20	30	15	29	19	31	30	30
13	-	chr13:100759673-100775898	ENSMUSG00000045273	Cenph	protein_coding	[100759700]	1	120	20	17	14	8	13	16	15	17
X	+	chrX:48256861-48282452	ENSMUSG00000063785	Utp14a	protein_coding	[48282448]	1	303	39	39	39	29	38	34	45	40
11	-	chr11:80046492-80080990	ENSMUSG00000017561	Crlf3	protein_coding	[80046691]	1	53	7	6	3	3	9	6	4	15
9	-	chr9:97444394-98033180	ENSMUSG00000032452	Clstn2	protein_coding	[97446802, 97798771, 97444396]	3	2297	350	325	255	314	255	333	246	219
9	+	chr9:35558594-35567400	ENSMUSG00000032103	Pus3	protein_coding	[35567141]	1	119	12	17	15	17	9	14	18	17
9	-	chr9:35536646-35558527	ENSMUSG00000032101	Ddx25	protein_coding	[35541847]	1	3185	344	389	455	357	387	480	401	372
9	+	chr9:98563720-98588381	ENSMUSG00000032458	Copb2	protein_coding	[98588374]	1	1993	242	231	260	216	232	295	253	264
9	-	chr9:98588729-98601659	ENSMUSG00000032459	Mrps22	protein_coding	[98588732]	1	331	34	40	40	31	48	38	43	57
4	-	chr4:141576061-141606095	ENSMUSG00000006219	Fblim1	protein_coding	[141576061]	1	284	41	35	39	28	26	37	53	25
6	+	chr6:78370656-78373465	ENSMUSG00000071356	Reg3b	protein_coding	[78373462]	1	104	8	14	11	8	18	16	12	17
7	-	chr7:31130126-31155895	ENSMUSG00000001248	Gramd1a	protein_coding	[31130126]	1	3172	393	432	399	308	368	520	422	330
7	-	chr7:30957774-30973463	ENSMUSG00000001247	Lsr	protein_coding	[30957778]	1	793	83	119	80	91	101	133	89	97
14	-	chr14:64122622-64455902	ENSMUSG00000054733	Msra	protein_coding	[64122625]	1	431	49	53	61	34	48	79	49	58
7	-	chr7:51860576-51862266	ENSMUSG00000092118	Fancf	protein_coding	[51860580]	1	135	15	25	19	19	13	13	20	11
4	+	chr4:141444653-141467929	ENSMUSG00000006215	Zbtb17	protein_coding	[141467222]	1	139	18	12	12	9	16	29	26	17
9	-	chr9:44336349-44344227	ENSMUSG00000032126	Hmbs	protein_coding	[44336349]	1	213	19	26	32	19	22	31	32	32
11	+	chr11:101246027-101253705	ENSMUSG00000001240	Ramp2	protein_coding	[101248245]	1	735	101	88	81	80	80	115	95	95
9	-	chr9:44348105-44361669	ENSMUSG00000032127	Vps11	protein_coding	[44348099]	1	121	17	16	21	11	13	17	19	7
7	-	chr7:4481519-4501679	ENSMUSG00000019254	Ppp1r12c	protein_coding	[4481520]	1	1150	121	128	132	126	134	205	151	153
15	+	chr15:78891839-78891912	ENSMUSG00000099267	Mir6955	miRNA	[78894583]	1	582	65	87	66	49	73	106	64	72
18	+	chr18:36281096-36301520	ENSMUSG00000043991	Pura	protein_coding	[36288952, 36301513, 36290266, 36296918]	4	1307	163	201	167	181	127	175	127	166
19	+	chr19:3288919-3288982	ENSMUSG00000099261	Mir6984	miRNA	[3291193]	1	645	70	73	72	78	70	86	83	113
7	-	chr7:30616973-30626150	ENSMUSG00000036751	Cox6b1	protein_coding	[30616971]	1	1621	171	165	186	177	189	214	211	308
12	+	chr12:69184156-69186769	ENSMUSG00000043998	Mgat2	protein_coding	[69186701]	1	923	130	101	124	116	97	141	122	92
17	-	chr17:66078794-66101558	ENSMUSG00000024099	Ndufv2	protein_coding	[66079440]	1	2318	268	264	271	229	251	338	285	412
17	-	chr17:65923065-65951186	ENSMUSG00000024098	Twsg1	protein_coding	[65923069]	1	397	45	58	44	48	42	48	52	60
6	-	chr6:72957346-72958747	ENSMUSG00000079523	Tmsb10	protein_coding	[72957347]	1	8406	1089	1014	1089	936	903	1294	1123	958
10	-	chr10:89408822-89443966	ENSMUSG00000074802	Gas2l3	protein_coding	[89409262]	1	33	4	3	2	0	7	5	6	6
17	-	chr17:80200088-80207304	ENSMUSG00000024097	Srsf7	protein_coding	[80201312, 80200074]	2	1880	236	255	249	219	205	282	229	205
7	+	chr7:118855759-118972651	ENSMUSG00000073856	Iqck	protein_coding	[118858638]	1	43	11	4	6	4	6	3	4	5
2	-	chr2:128966592-128967724	ENSMUSG00000074807	Gm10762	protein_coding	[128966201, 128966515]	2	243	32	43	36	44	21	30	24	13
19	+	chr19:18670779-18704787	ENSMUSG00000024726	2410127L17Rik	protein_coding	[18706669]	1	128	15	18	13	13	11	17	18	23
7	+	chr7:44590663-44604753	ENSMUSG00000062785	Kcnc3	protein_coding	[44604749]	1	92	18	15	10	9	8	12	13	7
X	+	chrX:94636068-94643243	ENSMUSG00000071723	Gspt2	protein_coding	[94643244, 94638550]	2	1932	257	246	250	240	189	297	212	241
2	-	chr2:48902823-48950276	ENSMUSG00000026761	Orc4	protein_coding	[48902827, 48905206, 48931959]	3	379	48	32	58	40	33	56	50	62
2	-	chr2:12347262-12419469	ENSMUSG00000026767	Fam188a	protein_coding	[12347265]	1	1121	132	129	139	122	134	189	151	125
2	-	chr2:50279880-50296800	ENSMUSG00000026766	Mmadhc	protein_coding	[50279882]	1	2841	322	388	363	296	308	415	368	381
2	+	chr2:49787687-49948848	ENSMUSG00000026765	Lypd6b	protein_coding	[49948388, 49948846]	2	802	110	103	85	114	86	122	94	88
14	-	chr14:55897285-55900231	ENSMUSG00000022223	Sdr39u1	protein_coding	[55897285]	1	1035	116	120	147	108	118	165	139	122
10	-	chr10:93858488-93897092	ENSMUSG00000036112	Metap2	protein_coding	[93860920, 93861333]	2	835	88	96	104	95	103	138	108	103
15	+	chr15:76351293-76354379	ENSMUSG00000022553	Maf1	protein_coding	[76354371]	1	2073	241	236	228	216	227	373	296	256
10	-	chr10:33512285-33624768	ENSMUSG00000019785	Clvs2	protein_coding	[33512285, 33512878]	2	258	34	30	31	33	31	35	26	38
10	-	chr10:30832358-30842800	ENSMUSG00000019789	Hey2	protein_coding	[30832359]	1	217	25	34	20	19	27	22	23	47
7	-	chr7:14530651-14622478	ENSMUSG00000041596	Nlrp5-ps	transcribed_unprocessed_pseudogene	[14619814]	1	86	19	12	14	7	5	7	18	4
14	-	chr14:122918970-122984034	ENSMUSG00000041594	Tmtc4	protein_coding	[122918974]	1	1958	231	241	218	203	254	324	267	220
7	+	chr7:41599260-41628532	ENSMUSG00000091474	2610021A01Rik	protein_coding	[41628531]	1	166	23	24	27	20	14	17	18	23
6	-	chr6:142490248-142507956	ENSMUSG00000030246	Ldhb	protein_coding	[142490249]	1	3307	417	411	396	395	315	491	416	466
18	+	chr18:67933256-68255548	ENSMUSG00000024544	Ldlrad4	protein_coding	[68255548]	1	32	5	3	6	5	5	4	1	3
6	+	chr6:142387220-142403857	ENSMUSG00000030245	Golt1b	protein_coding	[142403856, 142403150]	2	488	61	69	42	45	65	90	58	58
11	-	chr11:113726849-113751880	ENSMUSG00000041598	Cdc42ep4	protein_coding	[113726852]	1	1072	134	123	138	119	125	163	150	120
19	+	chr19:23758875-23949596	ENSMUSG00000024897	Apba1	protein_coding	[23949588]	1	5572	690	731	746	707	584	777	659	678
19	+	chr19:32485768-32515369	ENSMUSG00000024896	Minpp1	protein_coding	[32515358]	1	56	8	8	8	5	9	4	5	9
6	+	chr6:45301102-45302506	ENSMUSG00000108008	RP24-229C13.4	TEC	[45304072]	1	66	16	6	7	3	6	10	8	10
19	+	chr19:32620004-32667186	ENSMUSG00000024899	Papss2	protein_coding	[32667184]	1	61	6	6	6	8	8	6	6	15
8	+	chr8:26158211-26162939	ENSMUSG00000037214	Thap1	protein_coding	[26164149]	1	678	80	79	91	85	85	92	83	83
2	-	chr2:119269200-119271271	ENSMUSG00000034226	Rhov	protein_coding	[119269202]	1	504	72	65	59	72	53	72	50	61
1	-	chr1:179745185-179803679	ENSMUSG00000026491	Ahctf1	protein_coding	[179746091, 179745638]	2	285	34	33	43	33	32	43	32	35
1	+	chr1:179960471-180165602	ENSMUSG00000026490	Cdc42bpa	protein_coding	[179999413]	1	42	6	9	4	4	2	4	8	5
10	+	chr10:86685600-86694805	ENSMUSG00000097412	1810014B01Rik	lincRNA	[86689953]	1	62	4	11	4	8	5	9	8	13
1	+	chr1:180726042-180754203	ENSMUSG00000026499	Acbd3	protein_coding	[180753920, 180754164]	2	417	46	47	46	50	55	57	70	46
9	-	chr9:69757709-69760939	ENSMUSG00000059246	Foxb1	protein_coding	[69757711]	1	188	20	18	26	14	23	36	22	29
4	-	chr4:135412307-135433852	ENSMUSG00000059713	Rcan3	protein_coding	[135412308]	1	1487	210	182	181	166	153	227	208	160
